City,Country,NOC
Athens,Greece,GRE
Paris,France,FRA
St Louis,United States of America,USA
London,Great Britain,GBR
Stockholm,Sweden,SWE
Antwerp,Belgium,BEL
Amsterdam,Netherlands,NED
Los Angeles,United States of America,USA
Berlin,Germany,GER
Helsinki,Finland,FIN
Melbourne / Stockholm,Australia,AUS
Rome,Italy,ITA
Tokyo,Japan,JPN
Mexico,Mexico,MEX
Munich,Germany,GER
Montreal,Canada,CAN
Moscow,Russian Federation,RUS
Seoul,"Korea, South",KOR
Barcelona,Spain,ESP
Atlanta,United States of America,USA
Sydney,Australia,AUS
Beijing,People's republic of China,CHN
Melbourne / Stockholm,Sweden,SWE